detector - descriptor,Frame,lidar TTC,Camera TTC,Difference,
BRISK-ORB,Frame16,8.898673,9.264367,0.365693,
BRISK-ORB,Frame17,11.030114,7.199032,3.831082,
BRISK-ORB,Frame18,8.535568,7.700914,0.834654,
 , , , , ,
BRISK-FREAK,Frame1,12.289100,11.545278,0.743822,
BRISK-FREAK,Frame2,13.354725,18.612824,5.258099,
BRISK-FREAK,Frame3,16.384452,11.165914,5.218539,
BRISK-FREAK,Frame4,14.076445,11.112720,2.963725,
BRISK-FREAK,Frame5,12.729945,11.885627,0.844318,
BRISK-FREAK,Frame6,13.751074,13.057071,0.694003,
BRISK-FREAK,Frame7,13.731432,13.139274,0.592158,
BRISK-FREAK,Frame8,13.790126,13.139835,0.650291,
BRISK-FREAK,Frame9,12.058994,10.771062,1.287932,
BRISK-FREAK,Frame10,11.864185,8.928037,2.936148,
BRISK-FREAK,Frame11,11.968197,13.803860,1.835663,
BRISK-FREAK,Frame12,9.887113,9.737035,0.150078,
BRISK-FREAK,Frame13,9.425037,8.669217,0.755820,
BRISK-FREAK,Frame14,9.302148,8.560172,0.741976,
BRISK-FREAK,Frame15,8.321200,8.885885,0.564684,
BRISK-FREAK,Frame16,8.898673,10.037357,1.138684,
BRISK-FREAK,Frame17,11.030114,7.264216,3.765898,
BRISK-FREAK,Frame18,8.535568,8.278089,0.257479,
 , , , , ,
BRISK-SIFT,Frame1,12.289100,8.326956,3.962144,
BRISK-SIFT,Frame2,13.354725,10.675335,2.679389,
BRISK-SIFT,Frame3,16.384452,9.240576,7.143876,
BRISK-SIFT,Frame4,14.076445,8.258842,5.817604,
BRISK-SIFT,Frame5,12.729945,10.098871,2.631074,
BRISK-SIFT,Frame6,13.751074,11.849060,1.902014,
BRISK-SIFT,Frame7,13.731432,8.585851,5.145581,
BRISK-SIFT,Frame8,13.790126,10.193085,3.597041,
BRISK-SIFT,Frame9,12.058994,8.951966,3.107028,
BRISK-SIFT,Frame10,11.864185,9.154733,2.709452,
BRISK-SIFT,Frame11,11.968197,11.168186,0.800011,
BRISK-SIFT,Frame12,9.887113,7.977030,1.910083,
BRISK-SIFT,Frame13,9.425037,8.385831,1.039206,
BRISK-SIFT,Frame14,9.302148,6.781626,2.520522,
BRISK-SIFT,Frame15,8.321200,6.566307,1.754893,
BRISK-SIFT,Frame16,8.898673,10.633603,1.734930,
