Detector - Descriptor,Frame,Numner of keypoints,Total elapsed time,
BRISK-ORB,Frame 19,3146,145.857674,
 , , , ,
ORB-BRISK,Frame 1,500,40.892987,
ORB-BRISK,Frame 2,500,36.472577,
ORB-BRISK,Frame 3,500,32.667932,
ORB-BRISK,Frame 4,500,51.698963,
ORB-BRISK,Frame 5,500,36.503598,
ORB-BRISK,Frame 6,500,37.812639,
ORB-BRISK,Frame 7,500,33.205662,
ORB-BRISK,Frame 8,500,33.493059,
ORB-BRISK,Frame 9,500,38.005390,
ORB-BRISK,Frame 10,500,35.619094,
ORB-BRISK,Frame 11,500,41.097462,
ORB-BRISK,Frame 12,500,38.723112,
ORB-BRISK,Frame 13,500,35.398089,
ORB-BRISK,Frame 14,500,35.718204,
ORB-BRISK,Frame 15,500,34.426014,
ORB-BRISK,Frame 16,500,33.204078,
ORB-BRISK,Frame 17,500,33.274334,
ORB-BRISK,Frame 18,500,37.275154,
ORB-BRISK,Frame 19,500,36.892825,
 , , , ,
ORB-BRIEF,Frame 1,500,26.746742,
ORB-BRIEF,Frame 2,500,35.200449,
ORB-BRIEF,Frame 3,500,28.917264,
ORB-BRIEF,Frame 4,500,33.977165,
ORB-BRIEF,Frame 5,500,32.340152,
ORB-BRIEF,Frame 6,500,34.103661,
ORB-BRIEF,Frame 7,500,29.556212,
ORB-BRIEF,Frame 8,500,26.570724,
ORB-BRIEF,Frame 9,500,26.599145,
ORB-BRIEF,Frame 10,500,39.722004,
ORB-BRIEF,Frame 11,500,33.530270,
ORB-BRIEF,Frame 12,500,43.914429,
ORB-BRIEF,Frame 13,500,35.928528,
ORB-BRIEF,Frame 14,500,27.668773,
ORB-BRIEF,Frame 15,500,32.121054,
ORB-BRIEF,Frame 16,500,31.021591,
ORB-BRIEF,Frame 17,500,35.440672,
ORB-BRIEF,Frame 18,500,43.954638,
ORB-BRIEF,Frame 19,500,28.178049,
 , , , ,
